time,value
2019-08-29 16:51:41.028,7689.1978
2019-08-29 16:51:41.031,7689.1978
2019-08-29 16:51:52.599,7688.25
2019-08-29 16:51:52.602,7688.25
2019-08-29 16:52:04.172,7690.147
2019-08-29 16:52:15.742,7690.1475
2019-08-29 16:52:38.878,7690.1475
2019-08-29 16:52:50.448,7690.1475
2019-08-29 16:52:50.453,7690.1475
2019-08-29 16:53:25.166,7691.092
2019-08-29 16:53:36.725,7692.0386
2019-08-29 16:53:36.728,7692.0386
2019-08-29 16:53:48.280,7690.14
2019-08-29 16:53:59.830,7692.984
2019-08-29 16:54:11.387,7691.087
2019-08-29 16:54:46.054,7692.9844
2019-08-29 16:55:32.268,7691.089
2019-08-29 16:56:06.926,7693.934
2019-08-29 16:57:27.851,7694.8804
2019-08-29 16:57:39.409,7695.8237
2019-08-29 16:57:39.412,7695.8237
2019-08-29 16:57:50.959,7694.8755
2019-08-29 16:57:50.962,7694.8755
2019-08-29 16:58:02.505,7694.8755
2019-08-29 16:59:00.228,7697.7207
2019-08-29 16:59:23.325,7694.877
2019-08-29 16:59:34.878,7694.877
2019-08-29 16:59:46.423,7694.8774
2019-08-29 16:59:57.960,7696.7734
2019-08-29 17:00:21.061,7694.8774
2019-08-29 17:00:21.064,7694.8774
2019-08-29 17:00:32.617,7696.774
2019-08-29 17:01:07.264,7695.8257
2019-08-29 17:01:18.802,7695.8257
2019-08-29 17:01:18.805,7695.8257
2019-08-29 17:01:30.348,7697.722
2019-08-29 17:01:41.902,7695.8257
2019-08-29 17:01:53.449,7696.775
2019-08-29 17:02:05.000,7695.8267
2019-08-29 17:02:16.554,7693.9307
2019-08-29 17:02:28.114,7694.879
2019-08-29 17:02:39.668,7692.9824
2019-08-29 17:02:51.227,7695.8267
2019-08-29 17:03:14.338,7694.879
2019-08-29 17:03:25.894,7695.8267
2019-08-29 17:03:49.007,7695.8267
2019-08-29 17:04:00.559,7695.8267
2019-08-29 17:04:35.216,7694.879
2019-08-29 17:04:35.219,7694.879
2019-08-29 17:04:46.771,7696.776
2019-08-29 17:04:58.327,7696.776
2019-08-29 17:05:21.441,7698.6724
2019-08-29 17:05:32.998,7698.6724
2019-08-29 17:05:56.114,7697.7246
2019-08-29 17:06:19.242,7697.724
2019-08-29 17:06:30.803,7698.6733
2019-08-29 17:06:53.910,7694.88
2019-08-29 17:07:05.467,7695.828
2019-08-29 17:07:17.025,7696.777
2019-08-29 17:07:28.577,7694.8804
2019-08-29 17:08:03.243,7695.828
2019-08-29 17:08:26.360,7694.881
2019-08-29 17:08:37.922,7695.8286
2019-08-29 17:08:49.478,7697.7246
2019-08-29 17:09:01.046,7697.725
2019-08-29 17:09:12.606,7696.778
2019-08-29 17:09:35.732,7696.778
2019-08-29 17:09:58.841,7696.778
2019-08-29 17:10:10.398,7697.7256
2019-08-29 17:10:21.959,7695.829
2019-08-29 17:10:45.071,7699.6226
2019-08-29 17:10:56.632,7697.7256
2019-08-29 17:11:08.192,7695.829
2019-08-29 17:11:31.310,7694.8813
2019-08-29 17:11:54.433,7693.9336
2019-08-29 17:12:05.996,7697.7266
2019-08-29 17:12:17.558,7698.675
2019-08-29 17:12:29.120,7696.7783
2019-08-29 17:12:40.678,7696.7783
2019-08-29 17:12:52.233,7696.779
2019-08-29 17:13:03.793,7694.882
2019-08-29 17:13:03.796,7694.882
2019-08-29 17:13:15.353,7699.6235
2019-08-29 17:13:26.910,7698.6753
2019-08-29 17:13:38.474,7698.675
2019-08-29 17:13:50.039,7697.727
2019-08-29 17:14:01.603,7695.8306
2019-08-29 17:14:24.732,7696.7793
2019-08-29 17:14:24.735,7696.7793
2019-08-29 17:14:36.290,7696.7793
2019-08-29 17:15:10.991,7698.676
2019-08-29 17:15:22.551,7692.9863
2019-08-29 17:15:45.654,7698.676
2019-08-29 17:16:08.769,7698.676
2019-08-29 17:16:20.325,7697.727
2019-08-29 17:16:31.880,7698.6763
2019-08-29 17:16:43.452,7696.7793
2019-08-29 17:16:55.017,7698.6763
2019-08-29 17:17:06.573,7698.6763
2019-08-29 17:17:18.140,7695.8306
2019-08-29 17:17:29.693,7698.6763
2019-08-29 17:17:41.253,7695.8306
2019-08-29 17:17:41.256,7695.8306
2019-08-29 17:18:04.375,7697.7275
2019-08-29 17:18:15.933,7698.6763
2019-08-29 17:18:27.485,7699.6245
2019-08-29 17:18:27.488,7699.6245
2019-08-29 17:18:50.607,7698.6763
2019-08-29 17:19:02.169,7698.6763
2019-08-29 17:19:13.728,7698.6763
2019-08-29 17:19:25.289,7700.5723
2019-08-29 17:20:11.541,7697.7275
2019-08-29 17:20:34.660,7700.5723
2019-08-29 17:20:46.221,7697.7275
2019-08-29 17:20:57.775,7700.5723
2019-08-29 17:21:09.337,7700.5723
2019-08-29 17:21:09.340,7700.5723
2019-08-29 17:21:32.442,7698.6763
2019-08-29 17:21:43.997,7699.6245
2019-08-29 17:21:55.554,7699.6245
2019-08-29 17:22:07.115,7699.6245
2019-08-29 17:22:18.679,7699.6245
2019-08-29 17:22:30.248,7698.6763
2019-08-29 17:22:53.380,7700.5723
2019-08-29 17:23:04.944,7700.5723
2019-08-29 17:23:16.510,7700.5723
2019-08-29 17:23:28.077,7697.727
2019-08-29 17:23:39.647,7700.5723
2019-08-29 17:24:02.781,7700.5728
2019-08-29 17:24:25.899,7703.418
2019-08-29 17:24:49.024,7701.521
2019-08-29 17:25:00.582,7701.521
2019-08-29 17:25:12.144,7700.5723
2019-08-29 17:25:23.713,7703.4175
2019-08-29 17:25:35.281,7699.6245
2019-08-29 17:25:46.845,7697.7275
2019-08-29 17:25:58.416,7702.4688
2019-08-29 17:26:09.979,7699.6245
2019-08-29 17:26:09.982,7699.6245
2019-08-29 17:26:21.550,7700.5723
2019-08-29 17:26:33.120,7699.6245
2019-08-29 17:26:44.684,7700.5723
2019-08-29 17:27:07.810,7701.5215
2019-08-29 17:27:30.923,7702.4688
2019-08-29 17:27:42.479,7701.5215
2019-08-29 17:27:42.482,7701.5215
2019-08-29 17:27:54.040,7699.625
2019-08-29 17:28:05.595,7701.5215
2019-08-29 17:28:28.721,7702.4688
2019-08-29 17:28:40.284,7699.625
2019-08-29 17:28:51.843,7702.469
2019-08-29 17:28:51.846,7702.469
2019-08-29 17:29:14.973,7702.469
2019-08-29 17:29:26.536,7699.625
2019-08-29 17:29:49.667,7700.5728
2019-08-29 17:30:12.782,7701.5215
2019-08-29 17:30:12.785,7701.5215
2019-08-29 17:30:35.913,7698.677
2019-08-29 17:30:47.472,7703.418
2019-08-29 17:30:59.037,7699.625
2019-08-29 17:31:10.605,7701.5215
2019-08-29 17:31:22.174,7702.469
2019-08-29 17:31:33.734,7702.469
2019-08-29 17:31:33.737,7702.469
2019-08-29 17:31:45.299,7702.469
2019-08-29 17:31:56.855,7700.5728
2019-08-29 17:32:31.552,7701.5215
2019-08-29 17:32:31.555,7701.5215
2019-08-29 17:32:54.672,7703.418
2019-08-29 17:32:54.675,7703.418
2019-08-29 17:33:06.232,7701.5215
